わたしはまいにちがっこうへいきます。|いきます,のみます,たべます,ねます
これはりんごです。|りんご,みかん,バナナ,ぶどう
あなたはなんさいですか。|なんさい,なんじ,なんようび,なんがつ
えきでともだちをまちます。|まちます,かえります,かいます,とります
あのひとはだれですか。|だれ,どこ,いつ,なに
これはわたしのかばんです。|かばん,くるま,つくえ,いす
あついですね。まどをあけましょうか。|あつい,さむい,たかい,ひくい
きょうはげつようびです。|げつようび,かようび,すいようび,もくようび
わたしはコーヒーをのみます。|のみます,ききます,みます,よみます
さようなら、またあした。|あした,きょう,おととい,せんしゅう
せんせい、おはようございます。|せんせい,がくせい,かいしゃいん,いしゃ
このへやはひろいです。|ひろい,せまい,ちいさい,ふるい
わたしはパンをたべます。|たべます,ききます,あそびます,およぎます
にほんごのべんきょうはむずかしいです。|むずかしい,やさしい,おもしろい,つまらない
あそこにこどもがいます。|こども,おとな,ねこ,いぬ
いま、なんじですか。|じ,ふん,びょう,ねん
デパートでくつをかいました。|くつ,くるま,でんわ,テレビ
きのう、えいがをみました。|えいが,りょうり,スポーツ,しゅくだい
わたしはおちゃがすきです。|おちゃ,おさけ,みず,ジュース
あそこにほんがあります。|ほん,ひと,ねこ,いぬ
わたしはまいばん10じにねます。|ねます,はたらきます,べんきょうします,おきます
このカメラはあたらしいです。|あたらしい,ふるい,ながい,みじかい
わたしはデパートへいきます。|いきます,かえります,きます,とります
あなたのなまえはなんですか。|なまえ,でんわ,かぎ,とけい
わたしのへやにテレビがあります。|テレビ,くるま,でんわ,かぎ
わたしはきのう、ともだちにあいました。|ともだち,いしゃ,せんせい,かいしゃいん
にわにきれいなはながさいています。|きれいな,しずかな,げんきな,たいへんな
わたしはバスでかいしゃへいきます。|かいしゃ,がっこう,えき,びょういん
いま、さむいですか。|さむい,あつい,すずしい,あたたかい
これはいくらですか。|いくら,どこ,いつ,なに
わたしはせんしゅう、きょうとへいきました。|せんしゅう,らいしゅう,あさって,きのう
わたしはパンとたまごをたべます。|パン,みず,ジュース,おちゃ
わたしはにほんごをべんきょうしています。|にほんご,えいご,スペインご,ちゅうごくご
あした、わたしはしごとがあります。|しごと,やすみ,かいぎ,りょこう
わたしはまいあさ7じにおきます。|おきます,ねます,はたらきます,あそびます
あのひとはせんせいです。|ひと,もの,ところ,こと
タクシーでびょういんへいきました。|タクシー,じてんしゃ,くるま,ひこうき
わたしはてがみをかきます。|てがみ,でんわ,しゃしん,ざっし
わたしのへやはちいさいです。|ちいさい,おおきい,ひろい,たかい
わたしはおおさかにすんでいます。|おおさか,アメリカ,フランス,インドネシア
わたしはすしがだいすきです。|すし,パン,コーヒー,ジュース
わたしはまいにち、しんぶんをよみます。|まいにち,まいつき,まいねん,まいつま
わたしはおんがくをききます。|おんがく,えいが,スポーツ,りょうり
このいすはたかいですか。|いす,つくえ,かばん,くるま
わたしはくるまをもっています。|くるま,じてんしゃ,バス,でんしゃ
わたしはともだちにでんわをかけます。|ともだち,せんせい,いしゃ,かいしゃいん
これはだれのかばんですか。|だれの,なんの,いくつの,どの
どうぞ、こちらへ。|どうぞ,ありがとう,ごめんなさい,さようなら
わたしはいちねんまえににほんへきました。|いちねん,いちじかん,いっしゅうかん,いちにち
きょうはいいてんきですね。|きょう,きのう,あした,あさって
